title,number,body,state,date_of_creation,user,closing_date,num_commits,additions,deletions,changed_files
"userdiff: php: Improved test cases used to catch ""abstract"" and ""final"" functions",915,"Since the original tests cases were using other detectable keywords (like ""public"" or ""protected""), they are able to pass even if the keywords intended to be covered are not present.
In the case of the test for ""abstract"" keyword, the method's body was updated in the fixture, since PHP doesn't allow an abstract method to have a body.

Signed-off-by: Javier Spagnoletti <phansys@gmail.com>

cc: Johannes Sixt <j6t@kdbg.org>",open,2020-11-14T13:14:57Z,phansys,,1,5,2,2
Add filter-branch.squelchWarning git config alongside FILTER_BRANCH_SQUELCH_WARNING,912,"In addition to the environment variable FILTER_BRANCH_SQUELCH_WARNING,
the git config filter-branch.squelchWarning is checked to see if the
usage warning should be squelched.

Thanks for taking the time to contribute to Git! Please be advised that the
Git community does not use github.com for their contributions. Instead, we use
a mailing list (git@vger.kernel.org) for code submissions, code reviews, and
bug reports. Nevertheless, you can use GitGitGadget (https://gitgitgadget.github.io/)
to conveniently send your Pull Requests commits to our mailing list.

Please read the ""guidelines for contributing"" linked above!
",open,2020-11-10T11:14:54Z,dhoepfl,,1,8,2,1
Simplified merge logic,911,"Thanks for taking the time to contribute to Git! Please be advised that the
Git community does not use github.com for their contributions. Instead, we use
a mailing list (git@vger.kernel.org) for code submissions, code reviews, and
bug reports. Nevertheless, you can use GitGitGadget (https://gitgitgadget.github.io/)
to conveniently send your Pull Requests commits to our mailing list.

Please read the ""guidelines for contributing"" linked above!

The logic for the merging is somewhat confusing. So I simplified it to be equivalent. I tested all my changes to ensure in practice they work.

The first thing I did was test out which branch would occur for every possible value of 

remoteheads->next | common->next | option_commit | Branch
-- | -- | -- | --
T | T | T | A
T | T | F | A
T | F | T | A
T | F | F | A
F | T | T | C
F | T | F | C
F | F | T | B
F | F | F | A

Using this truth table, I was able to deduce that if the second branch ran, the if statement for the first branch was false. Taking the inverse, it was then found many of the checks were redundant, so the if statement was rewritten to have each branch run under the same exact conditions, except each value is evaluated as little as possible.

I hope you can approve of this and show me how to send it.

Thank you.
",open,2020-11-07T21:17:58Z,pi1024e,,1,38,44,1
fix gcc 4.0 big endian sha1,907,"Currently, sha1.c is compiled in little endian mode when using gcc 4.0 on Mac OS X 10.4 PowerPC (which is big endian). This results in a build that always states there is a sha1 mismatch. The below patch allows big endian to be detected correctly using GCC 4.0 and probably older versions as well.
",open,2020-10-30T20:10:43Z,alex-free,,1,8,0,1
Fix potential segfault on cloning invalid tag,906,"Changes since v1:
* Reworked the patch to use the fallback approach based on feedback from Jeff King.


cc: Jeff King <peff@peff.net>",open,2020-10-30T08:29:28Z,sohomdatta1,,1,79,5,2
Completion: Fix DWIM completion for remotes,902,"There is a redundant function, `__gitcomp_direct_append`, that has
broken DWIM remote completion in the last few months.

This commit removes this function and fixes incorrect behavior


This commit resolves the bug reported [here](https://stackoverflow.com/questions/63776252/git-tab-completion-stopped-working-on-remote-branches/64398433#64398433) (https://stackoverflow.com/questions/63776252/git-tab-completion-stopped-working-on-remote-branches/64398433#64398433)

",open,2020-10-26T16:04:53Z,vegerot,,1,1,14,1
"Beginning of new merge strategy: New API, empty implementation",895,"In this series, I show the new merge API I have developed in merge-ort, and show how it differs from that provided by merge-recursive.  I do this in four steps, each corresponding to a patch.

Changes since v4:
  * Fix a bug where 'cherry-pick --continue' would report 'fatal: cherry-pick: --strategy cannot be used with --continue' when pull.twohead was set to ort (found by user of internal deployment at $DAYJOB)

cc: Elijah Newren <newren@gmail.com>
cc: Taylor Blau <me@ttaylorr.com>
cc: Peter Baumann <peter.baumann@gmail.com>
cc: Jonathan Tan <jonathantanmy@google.com>
cc: Eric Sunshine <sunshine@sunshineco.com>
cc: SZEDER Gábor <szeder.dev@gmail.com>
cc: Jacob Keller <jacob.keller@gmail.com>",open,2020-10-21T07:48:08Z,newren,,4,517,15,13
Add '*' pretty-format placeholder modifier,890,This new placeholder allows for line-feed insertion after a non-empty placeholder.,open,2020-10-18T15:20:13Z,Fointard,,2,10,0,2
gitk: add option to perform 'git fetch' command,872,"There wasn't ability to perform 'git fetch' from gitk tool.
Add 'Fetch' option to 'File' menu.
Bind it to 'F7' key.

Signed-off-by: Vladimir Chigarev <chiga17@mail.ru>

Thanks for taking the time to contribute to Git! Please be advised that the
Git community does not use github.com for their contributions. Instead, we use
a mailing list (git@vger.kernel.org) for code submissions, code reviews, and
bug reports. Nevertheless, you can use GitGitGadget (https://gitgitgadget.github.io/)
to conveniently send your Pull Requests commits to our mailing list.

Please read the ""guidelines for contributing"" linked above!
",open,2020-10-09T13:50:20Z,chiga17,,1,31,0,1
docs: Clarify git rm --cached function in gitignore note,862,Added text explaining that the `git rm --cached` command isn't analogous to the `gitignore` file and that the file will need to be added to `gitignore` to prevent later commits from adding the file back.,open,2020-10-05T08:11:11Z,sohomdatta1,,1,3,1,1
userdiff: add userdiff patterns for ts files (TypeScript),859,"[TypeScript](https://www.typescriptlang.org/) is an open-source language which builds on JavaScript, one of the world's most used tools, by adding static type definitions. In participating this year's Open Source Day hosted as part of the virtual Grace Hopper Conference, the proposed changes aim to address [this issue](https://github.com/microsoft/TypeScript/issues/36185) of adding diff chunk header lines to Git for **.ts** file extension.

The regex patterns match both traditional/arrow function expressions:
```typescript
const add = (a, b) => a + b
```
```typescript
public function add() { ...
```

Signed-off-by: Alice Kim [aliceykim0828@gmail.com](mailto:aliceykim0828@gmail.com)",open,2020-10-02T00:50:13Z,yehee,,1,2,0,1
Circleci project setup,857,"Thanks for taking the time to contribute to Git! Please be advised that the
Git community does not use github.com for their contributions. Instead, we use
a mailing list (git@vger.kernel.org) for code submissions, code reviews, and
bug reports. Nevertheless, you can use GitGitGadget (https://gitgitgadget.github.io/)
to conveniently send your Pull Requests commits to our mailing list.

Please read the ""guidelines for contributing"" linked above!
",open,2020-09-28T02:27:58Z,kadirselcuk,,4,13,0,1
