user,num_pull_requests,num_followers,num_following,num_contributions
dependabot[bot],4,0,0,0
ole-ve,1,0,0,4,3
koppor,3,156,307,1933,184
k3KAW8Pnf7mkmdSMPHz27,1,0,8,469,7
IfIWantedTo,1,0,0,3,2
Siedlerchr,1,16,24,2290,33
GlennOlsson,1,5,7,355,33
systemoperator,1,0,0,90,4
dependabot[bot],4,0,0,0
ole-ve,1,0,0,4,3
koppor,3,156,307,1933,184
k3KAW8Pnf7mkmdSMPHz27,1,0,8,469,7
IfIWantedTo,1,0,0,3,2
Siedlerchr,1,16,24,2290,33
GlennOlsson,1,5,7,355,33
systemoperator,1,0,0,90,4
phansys,1,28,77,2505,155
dhoepfl,1,3,0,12,29
pi1024e,1,9,2,212,23
alex-free,1,1,1,22,10
sohomdatta1,2,11,3,151,16
vegerot,1,8,10,261,88
newren,3,35,0,307,22
Fointard,1,0,0,3,2
chiga17,1,0,0,4,2
yehee,1,13,7,486,42
kadirselcuk,1,6,22,188,44
hanwen,1,317,5,807,31
KlotzAndrew,1,36,187,1631,106
lukaspupkalipinski,1,0,0,2,4
berislavlopac,1,14,8,130,13
onlynone,1,1,0,22,48
mikeg98,1,0,2,24,14
mickerules,1,1,0,3,2
rapsys,1,2,0,10,2
j143,1,1,1,227,68
ParthGala2k,1,0,0,9,4
timotheecour,1,45,12,1874,157
dyrone,1,1,13,97,13
KartikSoneji,1,16,1,223,23
sheikhhamza012,1,4,14,304,35
hginzel,1,3,5,15,21
tnir,1,67,0,493,117
